i1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 8, 8, 9, 10, 10, 12, 12, 13, 14, 18, 18, 23, 30, 5775]
i2	[-3, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 9, 11, 11, 13, 13, 15, 15, 19, 19, 22, 22, 24, 28, 28, 32, 37, 37, 41, 46, 52, 52, 67, 77, 77, 92, 92, 121, 121, 136, 181, 181, 245, 245, 318, 318, 522, 522, 1515, 15969, 15969, 257675]
i3	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 11, 11, 11, 12, 12, 13, 14, 14, 15, 15, 16, 16, 17, 19, 19, 21, 21, 23, 23, 25, 28, 28, 31, 31, 32, 34, 38, 38, 44, 49, 56, 56, 63, 77, 77, 113, 113, 61679, 65535]
i4	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 9, 9, 9, 9, 10, 10, 11, 11, 11, 12, 12, 13, 13, 14, 14, 15, 15, 16, 18, 18, 20, 20, 21, 23, 23, 25, 27, 30, 35, 35, 969]
i5	[0, 1, 2, 4, 4, 8, 8, 10, 10, 17, 24, 24, 34, 34, 53, 56, 79, 109, 109, 136, 188, 188, 237, 305, 758, 758, 823, 823, 1041, 1041, 1120, 1120, 1218, 1218, 1353, 1421, 1421, 1474, 1474, 1529, 1529, 2108, 2280, 2280, 2507, 2507, 2674, 2674, 2760, 2880, 2936, 3084, 3084, 3795, 3952, 3952, 4188, 4335, 4560, 4560, 4913, 5581, 5777, 5777, 6099, 6822, 6822, 7264, 7476, 8304, 8304, 8701, 10186, 10186, 11404, 11404, 12849, 14438, 14438, 16176, 16176, 17752, 20511, 20511, 21728, 25925, 25925, 31070, 31070, 34574, 38874, 42632, 42632, 60281, 60281, 115849, 227337, 227337, 23159456]
i6	[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 11, 11, 12, 13, 13, 14, 15, 15, 17, 17, 18, 19, 21, 21, 22, 24, 27, 27, 29, 29, 30, 32, 32, 34, 36, 40, 40, 43, 43, 44, 47, 47, 51, 55, 55, 58, 63, 63, 68, 68, 76, 83, 83, 88, 88, 95, 95, 103, 107, 115, 115, 125, 139, 153, 153, 176, 176, 196, 196, 205, 231, 231, 266, 301, 301, 392, 392, 539, 696, 696, 899, 899, 431037]
i7	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 8, 8, 9, 9, 9, 10, 10, 11, 11, 12, 12, 14, 14, 15, 17, 17, 18, 20, 20, 22, 24, 24, 28, 32, 32, 38, 38, 48, 60, 60, 76, 106, 106, 152, 56311]
i8	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 13, 13, 14, 14, 15, 15, 16, 16, 17, 18, 18, 19, 20, 20, 21, 21, 23, 23, 24, 25, 27, 27, 29, 29, 31, 33, 33, 35, 35, 38, 41, 41, 44, 44, 45, 47, 47, 6047]
i9	[0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 6, 6, 7, 7, 9, 9, 10, 10, 11, 12, 12, 13, 14, 14, 16, 16, 17, 18, 19, 21, 21, 23, 23, 24, 26, 27, 29, 29, 31, 33, 33, 35, 37, 40, 40, 43, 43, 46, 49, 49, 51, 54, 54, 57, 62, 62, 66, 66, 71, 71, 76, 76, 81, 87, 87, 92, 96, 109, 109, 118, 118, 130, 142, 142, 153, 153, 156, 190, 190, 208, 208, 260, 260, 267, 311, 357, 357, 423, 423, 563, 563, 722, 743, 29019]
i10	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 7, 7, 11]
i11	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 11, 13, 13, 17, 137, 231]
i12	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 8, 14, 14, 4008]
i13	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 12, 12, 13, 13, 14, 14, 15, 16, 16, 17, 18, 18, 19, 21, 23, 23, 25, 28, 28, 34, 34, 37, 42, 7393]
