i1	20793556	25047061	45840617	0.454
i2	0	45840617	45840617	0.0
i3	9839447	36001170	45840617	0.215
i4	9937369	35903248	45840617	0.217
i5	1183117	44657500	45840617	0.026
i6	10252328	35588289	45840617	0.224
i7	1982866	43857751	45840617	0.043
i8	22773	45817844	45840617	0.0
i9	1982866	43857751	45840617	0.043
i10	20793556	25047061	45840617	0.454
i11	1982866	43857751	45840617	0.043
i12	35071652	10768965	45840617	0.765
i13	9937369	35903248	45840617	0.217
c1	0	45840617	45840617	0.0
c2	0	45840617	45840617	0.0
c3	1559473	44281144	45840617	0.034
c4	1559473	44281144	45840617	0.034
c5	0	45840617	45840617	0.0
c6	5540625	40299992	45840617	0.121
c7	0	45840617	45840617	0.0
c8	0	45840617	45840617	0.0
c9	0	45840617	45840617	0.0
c10	0	45840617	45840617	0.0
c11	0	45840617	45840617	0.0
c12	1559473	44281144	45840617	0.034
c13	0	45840617	45840617	0.0
c14	0	45840617	45840617	0.0
c15	0	45840617	45840617	0.0
c16	1559473	44281144	45840617	0.034
c17	0	45840617	45840617	0.0
c18	0	45840617	45840617	0.0
c19	20172858	25667759	45840617	0.44
c20	20172858	25667759	45840617	0.44
c21	1559473	44281144	45840617	0.034
c22	34955073	10885544	45840617	0.763
c23	0	45840617	45840617	0.0
c24	1559473	44281144	45840617	0.034
c25	20172858	25667759	45840617	0.44
c26	20172858	25667759	45840617	0.44
